imdb_id,title,release_date,original_language,genres,runtime,vote_average,overview,primaryName,primaryProfession
tt0109830,Forrest Gump,1994-06-23,en,"['Comedy', 'Drama', 'Romance']",142,8.481,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Tom Hanks,"producer,actor,writer"
tt0109830,Forrest Gump,1994-06-23,en,"['Comedy', 'Drama', 'Romance']",142,8.481,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Robin Wright,"actress,producer,director"
tt0078788,Apocalypse Now,1979-08-15,en,"['Drama', 'War']",147,8.281,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Martin Sheen,"actor,producer,director"
tt0078788,Apocalypse Now,1979-08-15,en,"['Drama', 'War']",147,8.281,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Marlon Brando,"actor,director,writer"
tt0088846,Brazil,1985-02-20,en,"['Comedy', 'Science Fiction']",143,7.683,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",Jonathan Pryce,"actor,producer,soundtrack"
tt0088846,Brazil,1985-02-20,en,"['Comedy', 'Science Fiction']",143,7.683,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",Kim Greist,"actress,art_department,archive_footage"
tt0083658,Blade Runner,1982-06-25,en,"['Science Fiction', 'Drama', 'Thriller']",118,7.934,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Harrison Ford,"actor,writer,producer"
tt0083658,Blade Runner,1982-06-25,en,"['Science Fiction', 'Drama', 'Thriller']",118,7.934,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Rutger Hauer,"actor,producer,director"
tt0092890,Dirty Dancing,1987-08-21,en,"['Drama', 'Music', 'Romance']",100,7.347,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",Patrick Swayze,"actor,producer,miscellaneous"
tt0092890,Dirty Dancing,1987-08-21,en,"['Drama', 'Music', 'Romance']",100,7.347,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",Jennifer Grey,"actress,producer,miscellaneous"
